,,-0.0,,,-0.0,,,-0.0,,,-0.0,,,-0.0,8
13.6556353518,10.3704111598,-3695.99562897,9.64192424762,10.1939543556,-3698.49290644,5.97101651027,9.08647717665,-3697.83609988,3.45770891378,7.3324675596,-3696.91710306,1.91739317597,5.57977556022,-3695.99351741,8
13.6094946242,10.113687194,-3594.68166496,9.62318839638,9.99861926079,-3597.41219189,5.95416921506,8.95429792472,-3596.78895521,3.4638623971,7.23167112627,-3595.7636435,1.91739371782,5.51162945009,-3594.88705795,8
13.5594840193,9.84718264732,-3491.05622217,9.59876678651,9.79894038779,-3493.96647439,5.93843716556,8.81572297287,-3493.37978256,3.46546291604,7.12903146056,-3492.2987429,1.92728771631,5.43769333784,-3491.28976266,8
13.5056155067,9.57177579764,-3385.68301472,9.56920999203,9.59530291508,-3388.7248616,5.9313606293,8.66635415159,-3388.14893501,3.47179300594,7.02079076377,-3387.0231646,1.84725337252,5.22355884902,-3385.68285044,8
13.4487720677,9.29590878339,-3281.67173489,9.53515265033,9.39372737311,-3284.7944829,5.93551438944,8.50851475594,-3284.19443995,3.48665857198,6.90799420233,-3283.01221547,1.85874656478,5.14897969248,-3281.61060342,8
13.3886408508,9.01719248252,-3178.26831489,9.49697549489,9.19220459572,-3181.43172966,5.94588431778,8.34410135656,-3180.80500393,3.18939600093,6.51272275264,-3179.31191212,1.78425370202,4.95164965344,-3177.97294629,8
13.3253298603,8.73630279271,-3075.81498909,9.45528925683,8.9909076036,-3078.98954322,5.95720332906,8.17699868773,-3078.37463558,3.20623215046,6.40351923309,-3076.83017777,1.79845511865,4.87691529573,-3075.39919358,8
13.2590660476,8.45453395243,-2974.83773035,9.4107349799,8.7904531689,-2978.00419337,5.96620910377,8.01018618448,-2977.46641325,3.21827733728,6.29595070079,-2975.89845302,1.80930648622,4.80304443997,-2974.39127701,8
13.1887139978,8.16501149237,-2873.20098336,9.36336084664,8.58554571608,-2876.3573523,5.97260426316,7.84047693166,-2875.9823639,3.22951651193,6.18613277995,-2874.39233636,1.74456795108,4.61955806767,-2872.58322692,8
13.1156814145,7.87470320091,-2773.40819108,9.31481460596,8.38056147644,-2776.56759331,5.97557968356,7.67245165074,-2776.44832505,3.24242767443,6.07542249612,-2774.82117469,1.75793828967,4.5454096154,-2772.89945968,8
13.0394551276,7.58092223085,-2674.68502936,9.26527902537,8.17327342106,-2677.87185394,5.97506881261,7.50491739248,-2678.10382397,3.25652636018,5.96317320567,-2676.43489527,1.76842437203,4.47170789679,-2674.45851806,8
12.9616584639,7.2909341287,-2579.40528894,9.21603697861,7.9685532523,-2582.64858597,5.10112871522,6.97884604439,-2582.98148776,3.00793756865,5.64153638751,-2581.313207,1.70445507774,4.30593476852,-2579.40721013,8
12.8814138091,7.00113164542,-2486.37873542,9.16652114992,7.76389621796,-2489.7087215,5.09834814118,6.83543089639,-2490.5394243,3.01283549165,5.54154733229,-2488.86472498,1.70955851975,4.23731617251,-2486.91302311,8
12.7978761104,6.70783817528,-2394.55972735,9.11656828963,7.55650601801,-2398.01675644,5.09346026347,6.69203126874,-2399.4092692,3.01548968738,5.44189253179,-2397.74003593,1.71841423834,4.16702688492,-2395.65999184,8
12.7115133505,6.41234629865,-2304.49873366,9.06690499363,7.34700371027,-2308.13491895,5.08777371454,6.54869346546,-2310.14923653,3.02053473641,5.34100705392,-2308.47378984,1.66220528119,4.0137199429,-2306.08124991,8
12.6223850914,6.11451146027,-2216.27833767,9.01787353261,7.13511322644,-2220.1568396,5.08231422853,6.40487407206,-2222.84981015,3.02918831979,5.23837007508,-2221.15765095,1.67056864318,3.9456609395,-2218.70001753,8
12.5324145774,5.82080576161,-2131.80098979,8.97035865697,6.9256290619,-2135.98102238,5.07700742031,6.26377548434,-2139.36591817,2.822308031,4.97072715184,-2137.34065437,1.61524284814,3.80548895959,-2134.98768414,8
12.4403508256,5.52731584107,-2049.87270502,7.16026070395,6.56924690599,-2058.80100894,5.07129517772,6.12376790476,-2058.49054087,2.82614474829,4.87840230568,-2056.47817972,1.61934816514,3.74253158078,-2054.08373544,8
12.3450199677,5.23006199954,-1969.48145222,7.14261491493,6.3829298,-1979.46161352,5.06606747173,5.9824504618,-1979.23270362,2.82887926402,4.78631405551,-1977.24306541,1.62846980045,3.67772864447,-1974.70890586,8
12.2462587274,4.92793482101,-1890.54408612,7.12401182593,6.19513454457,-1901.66830013,5.06295805014,5.83845610607,-1901.54251413,2.83645730164,4.69154504715,-1899.56900207,1.58505212414,3.54586509749,-1896.67583509,8
12.1445683476,4.62178085879,-1813.51048531,7.10513008412,6.00636058459,-1825.89297067,5.06308722526,5.69173391517,-1825.90105942,2.85085633875,4.59361621513,-1823.9476567,1.59766947351,3.48188360429,-1820.96798038,8
12.0401572357,4.3117177643,-1738.60354161,7.08641719765,5.81678878797,-1752.38336566,4.47184384179,5.3342107609,-1752.40197768,2.68790441819,4.3633475791,-1750.31793066,1.55904734535,3.35886554798,-1747.39086753,8
11.9358637943,4.0053669749,-1667.75210059,7.06783400605,5.63200393808,-1683.01717586,4.48099115552,5.2011311327,-1683.30447532,2.70245973322,4.27346107386,-1681.26005458,1.56758545814,3.30046437416,-1678.31367886,8
11.8323928933,3.70518286432,-1601.32050728,7.04834883275,5.45455646984,-1618.09831386,4.48817258839,5.07385231487,-1618.6714203,2.70771806834,4.19142652244,-1616.67866212,1.56908089034,3.24675766371,-1613.76110515,8
11.7301327379,3.41285233671,-1539.397798,7.02683797443,5.28648939182,-1557.64613036,4.49022528358,4.95502557889,-1558.47707757,2.70410033042,4.11721892447,-1556.51813673,1.5194826468,3.14335074782,-1553.36603274,8
11.6314334618,3.13503712646,-1483.04674011,7.00226137387,5.13300821219,-1502.5952417,4.48414518633,4.84918852024,-1503.59790372,2.69318392639,4.05130754824,-1501.63642493,1.51132546917,3.09923967845,-1498.54696146,8
11.535687135,2.87126938677,-1431.6175995,6.97316805065,4.99460448305,-1452.21157563,4.46787552757,4.7570500555,-1453.26160735,2.67599992273,3.99237761978,-1451.26800832,1.49759509763,3.05944693983,-1448.28621579,8
11.4391665123,2.61340491626,-1383.03065581,6.93830770473,4.86667117907,-1404.42977353,4.44176054318,4.67472756361,-1405.42387751,2.49943908094,3.8347892522,-1403.05720463,1.44501565167,2.97040955695,-1400.15354986,8
11.3426212734,2.36301252944,-1337.45421303,6.89811856278,4.75007740804,-1359.40810361,4.40843588707,4.60112770654,-1360.29351531,2.48302793489,3.78119453732,-1357.88542201,1.43922449448,2.93053538598,-1354.92835973,8
11.2456212936,2.11910092865,-1294.51931382,6.85278629271,4.64408948687,-1316.79277516,4.37064119679,4.53384783296,-1317.56776732,2.46936014544,3.72793868579,-1315.13799567,1.39011911726,2.8487258885,-1312.01253404,8
11.1471693341,1.87940600837,-1253.67592967,6.802551929,4.54713806308,-1276.0741368,4.33146060602,4.4697219411,-1276.78364778,2.4578348321,3.67496663084,-1274.36589023,1.38638805667,2.81110515706,-1271.19365202,8
11.0487581593,1.6466472461,-1215.35599602,6.74862448648,4.4601149072,-1237.70610526,4.29406461431,4.40759218617,-1238.41771876,2.44696726592,3.62390672429,-1236.04699842,1.38107034597,2.77563485938,-1232.87171629,8
10.9515924848,1.42307418186,-1179.80117476,6.69186768915,4.38360284075,-1201.94113415,3.82863434594,4.22340821556,-1202.44053764,2.30130285344,3.4908442092,-1200.09305011,1.33342779456,2.70330767937,-1197.12082815,8
10.8562569849,1.20979564667,-1146.98335412,6.63272977209,4.31757869822,-1168.75778428,3.80530310573,4.16510593602,-1169.39620871,2.28431758086,3.45019533349,-1167.08645703,1.3227194691,2.67375493276,-1164.1623659,8
10.7595498941,1.00096958638,-1115.69308993,6.57020158797,4.25884406286,-1136.99149612,3.78229289618,4.10802813528,-1137.79900579,2.26578951864,3.4111972005,-1135.50579981,1.31459315005,2.64373781474,-1132.54776703,8
10.6645271183,0.801626727863,-1086.71927542,6.5063437604,4.20866908732,-1107.44770198,3.75911121537,4.05452104595,-1108.42592796,2.24913317205,3.37337598855,-1106.1179659,1.27169166094,2.57810595047,-1102.96693148,8
10.5726467768,0.614188666254,-1060.25923219,6.44196054032,4.16735213818,-1080.32068437,3.73360731153,4.00680918192,-1081.43587,2.23192788115,3.33836685539,-1079.10547925,1.25763098338,2.55405378397,-1076.09583156,8
7.915149084,3.64917738627,-1051.65424756,5.39618829542,4.18519550927,-1056.85268584,3.70383813847,3.96547216299,-1056.36371532,2.09819606149,3.23188228614,-1053.73303615,1.2102865063,2.49654512381,-1050.96931724,8
7.85062606788,3.60750364778,-1028.95316381,5.34661295952,4.14941223761,-1033.72943447,3.66911012501,3.93118483478,-1033.17986166,2.0735731878,3.20578314031,-1030.58414934,1.19577110912,2.47526721354,-1027.86837628,8
7.7599131596,3.4980694528,-990.56937907,5.28630375129,4.0645004867,-995.09046004,3.62526670743,3.8633289495,-994.448186619,2.04747816441,3.15536637704,-991.880724139,1.18465572678,2.43594103223,-989.102445914,8
7.66156746071,3.39727638129,-952.603507463,5.21725586152,3.98595405289,-956.842710302,3.57419675443,3.79948085834,-956.235322048,2.01950079331,3.10475833305,-953.690997545,1.17061239592,2.39681022101,-950.901953328,8
7.55609601678,3.30615533128,-915.27228223,5.14061056343,3.91334211861,-919.189190304,3.5194214825,3.73758667013,-918.76363686,1.99331344521,3.0525414324,-916.211219517,1.1526989957,2.35877000488,-913.540626338,8
7.44400828596,3.22539917787,-878.734914416,5.05762330295,3.84590122499,-882.277487397,3.46586229666,3.67381326482,-882.103439499,1.96799540021,2.99940457011,-879.544999995,1.13813446992,2.31919387374,-876.913834133,8
7.32668044776,3.15591868928,-843.365444762,4.96996729564,3.78346237301,-846.479738578,3.41698355255,3.6058951313,-846.509261387,1.94104729081,2.94697613245,-843.983314578,1.12391148816,2.279341315,-841.360719758,8
7.20163325905,3.09589522145,-808.341803922,4.87648191079,3.72371654976,-810.98190946,3.37078023517,3.53263890612,-811.105450514,1.9117446639,2.89385925808,-808.644544249,1.1053852798,2.23977644913,-806.113035713,8
7.06651298539,3.04378277725,-773.001697251,4.77666813767,3.66420602228,-775.165749906,3.32330889001,3.45524259441,-775.281592476,1.88450183235,2.83642611502,-772.848819694,1.09365775922,2.19546215617,-770.253091558,8
6.92206576659,2.99935483492,-737.565669363,4.6724429099,3.60402442835,-739.325426587,3.27098840886,3.37762772552,-739.370339128,1.8614306318,2.77408418066,-736.885656681,1.08389843576,2.14884471733,-734.235150909,8
6.76754596966,2.9617406914,-701.881750642,4.56454281095,3.54184930492,-703.37940933,3.21061982252,3.30213383513,-703.321605881,1.83732500257,2.70946069355,-700.756433583,1.07260736071,2.10093228937,-698.077187701,8
6.60332790438,2.93029921832,-666.080811764,4.45474691452,3.47660214525,-667.520265374,3.14138710287,3.23001761798,-667.345053038,1.80693204007,2.64579344898,-664.740612302,1.06060771693,2.05131358888,-661.958240081,8
6.43068073083,2.90444976742,-630.473172234,4.34573161114,3.40704898276,-632.085345037,3.06467261061,3.16125057037,-631.782426437,1.76866287805,2.58478425195,-629.219132927,1.03661129144,2.00511316929,-626.548237483,8
6.24965564368,2.88331989809,-595.096996285,4.23989482254,3.33061185174,-597.099850634,2.98343878749,3.09343254135,-596.657810495,1.72754611628,2.52364273493,-594.148103141,1.01347416503,1.95748076995,-591.531629952,8
6.06361807454,2.86640394412,-560.609082879,4.14102926946,3.24635106159,-563.165446025,2.90322410554,3.02438780979,-562.571030824,1.68973183305,2.46015887342,-560.036499363,0.99898973355,1.90618212628,-557.285817187,8
5.86909077227,2.85248594545,-526.374290467,4.04764533143,3.15188818399,-529.611770138,2.8270145524,2.9492457132,-528.856879868,1.6534117844,2.39395880771,-526.271407431,0.979367949947,1.85570744093,-523.546857507,8
5.6657220745,2.84064001446,-492.39211367,3.95816745673,3.04848551723,-496.426504826,2.75871010674,2.86521401967,-495.540524906,1.61773236199,2.32607232096,-492.950991644,0.961787207086,1.80340238134,-490.199399353,8
5.46022748388,2.83045687439,-459.788511409,3.87143385624,2.94384304669,-464.689693949,2.69986371218,2.77603973113,-463.758786709,1.58307504061,2.25935958888,-461.215645899,0.941156685228,1.75348838023,-458.535421658,8
5.25305795661,2.82130381509,-428.573711022,3.78283560398,2.84287445887,-434.354622031,2.64647958418,2.6849258891,-433.496933181,1.54816087618,2.19455307837,-431.04035307,0.91554122655,1.70684576508,-428.569312366,8
5.04495013422,2.81264990347,-398.795739895,3.68910705386,2.74906538201,-405.385843215,2.59509435026,2.5942007828,-404.702143595,1.51599603621,2.12964446886,-402.306641181,0.90087300046,1.65687423814,-399.783896113,8
4.8366527424,2.80406097971,-370.493922624,3.58811630123,2.66442434082,-377.72504305,2.54279892146,2.50522315197,-377.252524902,1.48830294937,2.06269781295,-374.841005667,0.886705344522,1.60709099646,-372.313219619,8
4.62433480858,2.79493302309,-343.115904097,3.47653913894,2.5879297875,-350.748592059,2.48594745606,2.41714328566,-350.46097207,1.45965255429,1.99448486659,-348.024391229,0.866050829178,1.55873286659,-345.656068454,8
4.41001865281,2.78494851404,-316.912387485,3.35460964307,2.52014581391,-324.643905584,2.42180587542,2.3324866328,-324.471433072,1.42517763443,1.92788201645,-322.053684109,0.847602126641,1.50816332527,-319.702287076,8
4.1959938624,2.77396575973,-292.119157769,3.22311858093,2.46120554622,-299.612048272,2.34716329222,2.25455791018,-299.464396354,1.3823482635,1.86438669427,-297.103927416,0.824924127249,1.45812801015,-294.769075316,8
3.98256687651,2.76187944022,-268.709021127,3.08207575778,2.41031407717,-275.628243924,2.25935769232,2.18503011281,-275.411014175,1.33172874085,1.80326065397,-273.120085591,0.796968374598,1.40858648305,-270.836290489,8
3.77169995686,2.74879853271,-246.819025808,2.93291117633,2.36692285355,-252.874762825,2.15805248354,2.12482724581,-252.506051758,1.27663530943,1.74305658526,-250.254719868,0.764663635239,1.3595313827,-248.076271271,8
3.56298391326,2.73479346028,-226.317423673,2.77575941472,2.32990820354,-231.292153002,2.04345463851,2.07302311864,-230.72041933,1.21671579841,1.68388007435,-228.490914128,0.72888511305,1.31064043808,-226.443778858,8
3.36097961938,2.72038888459,-207.532853235,2.61472925464,2.2991187636,-211.327625407,1.9195680095,2.02933303645,-210.548640012,1.14886705831,1.62983632034,-208.388223017,0.690222164908,1.26323950532,-206.441310417,8
3.16515890895,2.70584684273,-190.267700355,2.45030212449,2.27362330946,-192.882794815,1.7883443875,1.99201225039,-191.937450139,1.07200905473,1.581347853,-189.908751674,0.645186651882,1.21880232166,-188.107207243,8
2.97677761858,2.69155782798,-174.47426083,2.28464668913,2.25283090528,-176.015034068,1.65357487062,1.95967325188,-174.982702575,0.990206213077,1.53754722237,-173.127129521,0.599112500461,1.17635197501,-171.430023157,8
2.79968575878,2.67811348668,-160.274444674,2.12242171499,2.23650328177,-160.938814456,1.5209011641,1.93175942838,-159.913313656,0.910899929476,1.49730457949,-158.213897281,0.551369043359,1.13817227636,-156.698472739,8
2.65781119454,2.64497774154,-147.603459891,1.98025819732,2.21304219495,-147.633354065,1.40287940816,1.90203046838,-146.69133587,0.842294014394,1.45806464298,-145.105738431,0.504385922449,1.10426149277,-143.891889497,8
2.6468674148,2.50002519934,-136.428382646,1.91800346349,2.13526005152,-136.065630105,1.33869544738,1.84648284581,-135.246582013,0.797528335555,1.41397353483,-133.825285022,0.472178259181,1.07001929247,-132.844389434,8
2.63368324772,2.37619873046,-126.926535045,1.85703208155,2.07508643032,-126.372369116,1.27953560517,1.80215602531,-125.683752875,0.747551178117,1.38129625786,-124.543033687,0.436702552109,1.04306159352,-123.789588844,8
2.61886249793,2.27309763887,-119.048411368,1.79897543847,2.03047383301,-118.450849288,1.22559107318,1.76815346453,-117.881878827,0.694667480037,1.35854550525,-117.100356297,0.401291290728,1.02207797619,-116.518818042,8
2.60322755686,2.18983474212,-112.672580376,1.7455797514,1.99889727292,-112.122329626,1.17763046114,1.74294112062,-111.649607085,0.644952382795,1.34279615847,-111.197931605,0.371618114224,1.00524620863,-110.699867099,8
2.58758958594,2.12434860576,-107.605397748,1.69823597264,1.97726955525,-107.141220981,1.13861640389,1.72299202256,-106.732104636,0.609052403905,1.32865399377,-106.459415671,0.344090611498,0.993017226624,-106.137985996,8
2.57348084736,2.07685238487,-103.85776432,1.66071562825,1.96292740739,-103.473383472,1.10976099683,1.70788409537,-103.10547771,0.592028109521,1.31417126245,-102.855338381,0.32330825918,0.984113984581,-102.713603008,8
2.56107026555,2.04252241474,-101.073751633,1.6348129842,1.95037231049,-100.740859367,1.08793830693,1.6966666375,-100.409942704,0.583833001979,1.30141874356,-100.145583833,0.316530622223,0.974900499211,-100.036289746,8
2.54875626137,2.01382395258,-98.6725612315,1.62106203858,1.93232062576,-98.3610693095,1.07272120449,1.68458554473,-98.0660643977,0.573156006969,1.29186883699,-97.8230885026,0.31386711348,0.966005179738,-97.6778965123,8
2.5377927296,1.99176263077,-96.7660801156,1.61493126676,1.9140613079,-96.454470476,1.06528603647,1.67207726565,-96.1816725677,0.56426587745,1.2843577236,-95.9796907596,0.308617879936,0.959792406972,-95.839714905,8
2.52978730258,1.97749774825,-95.4940074096,1.6121797339,1.90083767587,-95.1742895642,1.06306816225,1.66202455813,-94.9124985485,0.559867982423,1.27861394602,-94.7466775757,0.300328261983,0.956917875942,-94.6781950548,8
2.52587158992,1.97112401487,-94.9103362333,1.61137402919,1.89443090374,-94.5840971408,1.06194467711,1.65748094484,-94.3299184221,0.556766118273,1.2764115849,-94.188162749,0.295036267787,0.956023031547,-94.1536586868,8
2.52794787384,1.97433982514,-95.2096043591,1.61164677986,1.89781160386,-94.8874513265,1.06289297291,1.65958943642,-94.6265659422,0.55931762116,1.27716104799,-94.4670422814,0.29640884395,0.956880208849,-94.4334578773,8
2.53400380744,1.98370321205,-96.0818616778,1.61262417652,1.90745230412,-95.7705455898,1.06751984485,1.66463320036,-95.4801217295,0.567916533435,1.2789213905,-95.2628783349,0.301661605515,0.959097258232,-95.2177558448,8
2.54335151751,1.99886669536,-97.4727172046,1.61597301536,1.92124622335,-97.1704932555,1.07894250616,1.67020496747,-96.8187219103,0.579437023364,1.28262222989,-96.5363158609,0.315331861258,0.961007938885,-96.4166475365,8
2.55685404251,2.02308686128,-99.6258946002,1.62600941907,1.93852239206,-99.3158419162,1.1005875353,1.67636067461,-98.8619590113,0.594977866565,1.28910057739,-98.52440863,0.328950441026,0.966070476298,-98.3232523084,8
2.57403992195,2.05905062343,-102.686826575,1.64537918832,1.95903458396,-102.33649409,1.13145670927,1.68507273276,-101.752689314,0.618629140473,1.29742429248,-101.337828196,0.349328134219,0.972782978092,-101.005389324,8
2.59007073355,2.1002404817,-106.019191653,1.66814337957,1.9803457201,-105.611504466,1.1613484718,1.69686486963,-104.920533816,0.640716579142,1.30815880929,-104.419048141,0.364406869808,0.982244774073,-104.022215551,8
2.60384009619,2.14643195469,-109.554579141,1.69269536182,2.00301336007,-109.087424579,1.18757978369,1.71254815566,-108.326062087,0.659988463676,1.3211453801,-107.747174965,0.371598703044,0.994835810866,-107.3999701,8
