delta_mean,delta_std,delta_entropy,theta_mean,theta_std,theta_entropy,alpha_mean,alpha_std,alpha_entropy,beta_mean,beta_std,beta_entropy,gamma_mean,gamma_std,gamma_entropy,userId
34.0230575812,27.0169424188,-30829.2616338,23.6536821943,26.4888280275,-30847.4422277,12.7547979899,21.6740039872,-30863.9605777,7.36114901224,17.0630633114,-30863.1579952,4.10367130082,12.8133159738,-30859.7170866,1
34.1488683712,27.1483246113,-31119.2090887,23.7497222647,26.6014817686,-31138.0646106,12.8077797019,21.7650012596,-31155.3959659,7.40321544101,17.1303534308,-31154.9099449,3.94930710606,12.5959352766,-31151.2494667,1
34.2615351292,27.2577752156,-31371.3597104,23.8400848804,26.6933972557,-31391.0807598,12.8556690252,21.8428874089,-31408.9630982,7.42608075923,17.1939546235,-31408.5869857,3.9448465509,12.6466656249,-31405.0590424,1
34.361186472,27.3483050534,-31588.5742284,23.9219041934,26.7689575537,-31609.190429,12.8923113518,21.912035716,-31627.1451784,6.85503316199,16.6294798486,-31626.2537053,3.77666595603,12.434648379,-31622.931392,1
34.4504545394,27.4272121273,-31781.4911566,18.6591157219,25.0103113272,-31816.6249873,12.9155081533,21.9778633591,-31820.3777156,6.83590307628,16.6882901875,-31819.2220977,3.76429776465,12.4738752129,-31815.9368959,1
34.532386252,27.5017121086,-31961.3575223,18.7020402263,25.0759159199,-31996.7603204,12.9267100105,22.0441106458,-31999.8945013,6.81858136071,16.7422263841,-31998.4772171,3.75660380507,12.5089760091,-31995.1910675,1
34.6066235648,27.5707957901,-32126.5191109,18.7333352595,25.1410827558,-32161.6847494,12.9287852881,22.1087048403,-32164.1818652,6.81212958443,16.7876954787,-32162.5435977,3.60834668019,12.2955315468,-32159.066688,1
34.6705538902,27.6281762685,-32266.8292149,18.7527633648,25.2008671402,-32301.3367812,12.9237404364,22.1667284811,-32303.256163,6.81082654198,16.8243776192,-32301.4474142,3.59747289553,12.3230628762,-32298.1286925,1
34.7231702155,27.6715172845,-32378.333535,18.7602754974,25.2533886451,-32411.8104618,11.1983580991,20.9924448344,-32413.0905251,6.31780198991,16.2813756124,-32410.9570984,3.44932809051,12.1143670539,-32407.9649772,1
34.7640493861,27.6996429216,-32459.0692474,18.7560694893,25.2976189997,-32491.1924202,11.1726203078,21.0331257404,-32491.9754057,6.29315196207,16.309306438,-32489.8868018,3.42911815884,12.1327483081,-32487.0380833,1
34.7919635471,27.7086425135,-32503.1444033,18.7405750797,25.3303778776,-32533.6807089,11.1416031554,21.0630674721,-32534.0706011,6.25858753987,16.3313976922,-32532.048157,3.40270257792,12.1461249579,-32529.3766816,1
34.8049303538,27.6914875567,-32500.3951844,18.7146632319,25.3460250409,-32529.2426755,11.1039788763,21.0794477336,-32529.3063601,6.21678663531,16.3442591943,-32527.3707943,3.24599264137,11.9329119117,-32524.8493633,1
34.8047094356,27.6517611527,-32456.9040527,18.6789196805,25.3472952103,-32483.9591871,11.0577038881,21.0854078295,-32483.7331976,6.16718190507,16.3495797909,-32481.9273564,3.20573836587,11.93421828,-32479.7501667,1
34.7955291324,27.6015723168,-32391.1124405,18.63305243,25.343715789,-32416.1685071,11.0017736739,21.0878349861,-32415.6939274,6.11219441932,16.3509581467,-32414.0501681,3.17115794442,11.9300920154,-32412.0297926,1
34.7817701977,27.5553726594,-32324.1285818,18.5758928501,25.3467406217,-32346.8641313,10.9375575549,21.0933618352,-32346.2079426,5.65058333514,15.824811323,-32344.4488455,3.04036996304,11.7127055484,-32342.435336,1
34.7661853532,27.5231104214,-32270.081552,18.5067247456,25.3640221021,-32290.1738026,10.8716541905,21.1036774111,-32289.4123983,5.62342669607,15.8187177337,-32287.5600552,3.03376533895,11.7035404882,-32285.3716899,1
34.7484710871,27.5018066907,-32225.3282298,18.428108737,25.3920982938,-32242.689307,10.8167378716,21.111503292,-32241.866449,5.61903851737,15.8071862659,-32239.7747033,2.93300449777,11.4956331299,-32237.3989736,1
34.7276636157,27.4846651514,-32181.3194912,18.3439043838,25.4241586803,-32196.1047991,10.7790563053,21.1111510737,-32195.2519767,5.62324645973,15.7932084696,-32192.9829248,2.93052280274,11.4875858695,-32190.7193867,1
34.7028272746,27.4641997524,-32128.827027,18.2582630455,25.4528360911,-32141.3552637,10.754066539,21.1019524881,-32140.5489861,5.62052704613,15.7798644768,-32138.2641292,2.92209258484,11.4797336201,-32136.1694275,1
34.6741904502,27.4394095498,-32067.0731275,18.1732014723,25.4763936567,-32077.6667103,9.47266609518,20.0058333342,-32076.6489595,5.24838047252,15.2924582294,-32074.6603836,2.81491425274,11.2830279277,-32072.7619007,1
34.6424680799,27.412795078,-31999.6527664,18.0897849738,25.495896672,-32008.5762733,9.4571438314,19.9889053192,-32007.8130124,5.22076546159,15.2845362163,-32006.0335177,2.80108281152,11.2743053832,-32004.1234513,1
34.6071254705,27.3775498542,-31918.6124489,18.0127058621,25.5042058179,-31926.1523445,9.43685338079,19.969897853,-31925.6891613,5.19300140066,15.27364325,-31924.0576005,2.78367861061,11.2643025012,-31922.2261548,1
34.5678375596,27.3275470558,-31817.0379356,17.9460005137,25.4951209316,-31823.4584388,9.41099060869,19.9468141052,-31823.2775521,5.16792575293,15.2572221796,-31821.7233428,2.67328761566,11.0731891256,-31820.0691877,1
34.5251686339,27.2644516193,-31697.5148906,17.8898329875,25.4697678652,-31702.997002,9.37896056938,19.9205979583,-31703.045028,5.14237316197,15.2367785107,-31701.563991,2.6507500255,11.0584062692,-31700.1621749,1
23.6336047268,26.9847711863,-31568.8528849,14.5424078402,23.6845438282,-31569.5782282,9.34068714389,19.8924335489,-31568.7404851,4.80077728739,14.7807168609,-31567.2802265,2.54782266415,10.8707314525,-31566.063466,1
23.5743302942,26.9394932909,-31423.6672698,14.5154006717,23.6350787508,-31424.5140231,9.29633507455,19.8633102975,-31423.6805037,4.76744393628,14.7577158099,-31422.374015,2.52899116011,10.8513980474,-31421.1941702,1
23.5249103321,27.1135655847,-31635.2810804,14.4715885002,23.7509428742,-31635.9540651,9.22757692995,19.9605707494,-31635.1947789,4.72038770963,14.8165536426,-31634.0793427,2.49690975385,10.8894427316,-31633.0864429,1
23.478096186,27.2663150149,-31817.9485355,14.4312761652,23.8516829469,-31818.3595543,9.16594352063,20.0448397058,-31817.654013,4.67991484648,14.8670514747,-31816.653598,2.46956719944,10.922055531,-31815.8190166,1
23.4324978176,27.4063202781,-31983.0487829,14.3911639053,23.9443193621,-31983.1566423,9.12960752879,20.1117020037,-31982.4252641,4.66797485024,14.9047872095,-31981.3636269,2.45447310044,10.9492371039,-31980.736972,1
23.3892089023,27.5334555419,-32131.4674032,14.3509911882,24.0295793005,-32131.2865572,9.09028052061,20.1746124512,-32130.5933327,4.65265617661,14.9400425038,-32129.4781365,2.44059911533,10.9736981379,-32128.9743912,1
23.3479765002,27.6513247016,-32268.4167576,14.3101162076,24.1101652156,-32267.9943843,9.04620906008,20.2360225979,-32267.4202272,4.6233233209,14.9771710942,-32266.3801261,2.42594569021,10.9966533177,-32265.8637599,1
23.310792889,27.7568938854,-32391.3600636,14.270779417,24.1838484079,-32390.7702099,9.00126239981,20.2934651598,-32390.3317958,4.59009598605,15.0125077486,-32389.4133305,2.40770079058,11.0183266999,-32388.9106451,1
23.2813136149,27.8421369135,-32491.7562253,14.237680358,24.2444891328,-32491.0773974,8.97400808993,20.3361604038,-32490.6845384,4.56865355375,15.0395716839,-32489.8930875,2.38793942204,11.0370033564,-32489.5517069,1
23.2621035114,27.9005528911,-32562.058815,14.2149843723,24.2866551014,-32561.3453894,8.96656760203,20.3609501557,-32560.9177841,4.55179113649,15.0590863113,-32560.2924005,2.36675950842,11.0516299941,-32560.1481149,1
23.2528088915,27.9314382956,-32600.4193326,14.2035150814,24.3091496047,-32599.6963993,8.96352772645,20.374051561,-32599.2391994,4.54128218067,15.0701465612,-32598.7133842,2.35348725338,11.0599886706,-32598.6547646,1
23.2511384334,27.9377697554,-32608.5939094,14.2013486935,24.3137908413,-32607.870072,8.96271783366,20.3769194782,-32607.4081241,4.53975830848,15.0722952821,-32606.8946569,2.35106614829,11.0616902106,-32606.8452181,1
23.2533642009,27.9276500767,-32594.9553523,14.2044586344,24.30631915,-32594.231699,8.96456582949,20.3719062834,-32593.772656,4.54043025633,15.0692579114,-32593.2588789,2.35359688282,11.0591596793,-32593.1987674,1
23.2564231999,27.9096590822,-32569.5660965,14.2092306563,24.292953796,-32568.8410258,8.96889234124,20.3621543911,-32568.3769785,4.53998458574,15.0640871804,-32567.8844737,2.35486211758,11.0551651874,-32567.8029789,1
23.2594019804,27.8836495596,-32531.0420402,14.2147556506,24.2735932695,-32530.3147514,8.9762645111,20.34693774,-32529.8273243,4.54280229613,15.0551577767,-32529.3414166,2.3613321983,11.048117393,-32529.2043002,1
23.2614030281,27.847767149,-32475.2681723,14.2200947211,24.2469980398,-32474.5449714,8.98748737279,20.3245560439,-32474.0027456,4.55727708377,15.0390548309,-32473.4251746,2.37326021671,11.03733163,-32473.2278093,1
23.2613237017,27.7975971924,-32393.7669118,14.2239793921,24.2102662215,-32393.0769342,9.00216427875,20.2924600468,-32392.4419331,4.58117336124,15.0146096633,-32391.6754304,2.39204682087,11.0212202166,-32391.3824478,1
